year,cofog_level1_code,dept_code,value
2009,01,GAD031,272000.0
2010,10,England LA data,0.0
2005,01,HOC036,146551000.0
2005,01,PRO067,0.0
2009,07,Dept084,311491901.75999993
2009,01,ILR041,4009736000.0
2005,04,ECG025,110000.0
2009,02,SCT075,4482000.0
2010,05,Dept041,7999999.989999999
2009,08,Northern Irish LG Adjustment/Input,205993000.0
2006,01,Dept041,285825000.04
2008,09,NAW090,1300068000.0
2009,04,Dept066,530589711.8100001
2007,04,Dept020,35464999.99
2008,04,Northern Irish LG Adjustment/Input,21514000.0
2008,08,Dept084,145120999.98
2007,02,HMT087,0.0
2009,03,Dept034,1816938000.000001
2010,09,Northern Irish LG Adjustment/Input,0.0
2004,08,Dept084,0.0
2006,04,ECG025,0.0
2008,01,RMT087,0.0
